clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2001,57.5,53.272446,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2002,43.333333333333336,53.272446,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2002,79.6,50.72884,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2003,47.6,53.272446,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2003,59.166666666666664,50.72884,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2004,25.0,52.193336,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2004,41.25,49.28793,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2005,14.4,52.771248,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2005,41.25,49.86584,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,verano,2005,70.0,65.174995,76.45,Sin riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2006,70.0,56.987988,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2006,73.25,54.08258,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,verano,2006,77.5,69.39174,76.45,Sin riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ago-dic,2007,90.0,56.290234,48.39413333333333,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2007,30.0,55.003044,57.98700274725274,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,56,LICENCIATURA EN INFORMATICA,Informatica,ene-jun,2008,90.0,54.241783,57.98700274725274,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ago-dic,2004,77.16666666666667,59.519924,48.414240343915345,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ago-dic,2005,44.4,56.474636,48.414240343915345,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ene-jun,2006,18.75,54.297173,50.20199259259259,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ago-dic,2007,46.25,56.448196,48.414240343915345,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ene-jun,2007,59.2,55.70286,50.20199259259259,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ago-dic,2008,16.0,57.09778,48.414240343915345,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,verano,2008,75.0,71.575966,75.092,Sin riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ago-dic,2009,50.0,65.638794,48.414240343915345,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,112,INGENIERIA MECANICA,Mecanica,ene-jun,2009,64.6,58.322006,50.20199259259259,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2004,68.16666666666667,59.064983,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,31.666666666666668,57.377037,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,62.0,59.31037,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,43.75,55.57942,50.902088095238085,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,verano,2006,80.0,74.46635,83.59666666666664,Sin riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,80.0,57.82666,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,77.0,56.06839,50.902088095238085,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,74.16666666666667,58.476242,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,84.4,55.30713,50.902088095238085,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,verano,2008,80.0,73.37582,83.59666666666664,Sin riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,76.5,67.18086,60.28880555555553,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,29.2,58.43189,50.902088095238085,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,121,INGENIERIA ELECTRONICA,Electronica,verano,2009,90.0,80.36038,83.59666666666664,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2004,46.42857142857143,54.571064,56.828211877276175,En riesgo
