clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,periodo_act,anio_ingreso_periodo,promedio,promedioxperiodo,promedio_pred,alumnoEnRiesgoBajoRendimiento
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,ago-dic,2001,57.5,48.39413333333333,57.435364,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,ene-jun,2002,79.6,57.98700274725274,54.27785,En riesgo
1149,5,1,56,VILLA DEL REAL,25006.0,Culiacan,1,verano,2005,70.0,75.49,71.525055,Sin riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,ago-dic,2004,77.16666666666667,48.414240343915345,57.22719,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,ene-jun,2006,18.75,50.20199259259259,52.79613,En riesgo
3156,2,1,112,LAS GRANJAS,25006.0,Culiacan,1,verano,2008,75.0,75.139,73.98903,Sin riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,ago-dic,2004,68.16666666666667,60.28880555555553,59.89375,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,ene-jun,2006,43.75,51.039219047619035,55.967903,En riesgo
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,verano,2006,80.0,83.59666666666664,77.84617,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,ago-dic,2004,46.42857142857143,56.69487854394284,57.98582,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,verano,2005,80.0,75.81,73.40298,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,ene-jun,2006,47.4,54.595506349206346,52.825207,En riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,ago-dic,2005,85.5,83.33335714285715,73.42386,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,ene-jun,2006,77.5,80.50810317460319,70.50918,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,verano,2006,70.0,66.05863492063494,73.983986,En riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,ago-dic,2005,85.8,71.69593544973546,69.10177,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,ene-jun,2006,68.5,73.61223611111113,65.20392,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,ago-dic,2005,86.4,67.97934353741498,69.56888,En riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,verano,2005,78.0,70.27998571428571,77.08554,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,ene-jun,2006,77.0,72.65845238095238,66.624146,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,ago-dic,2005,71.2,74.45819642857143,69.63768,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,ene-jun,2006,66.4,62.148060317460335,65.73983,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,verano,2006,35.0,65.58373333333333,72.33928,En riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,72.71428571428571,74.06840929705214,69.986664,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,65.0,70.15731746031746,65.921646,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,verano,2006,90.5,78.7409693877551,76.99481,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,ago-dic,2005,85.2,83.94526213151924,70.39799,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,ene-jun,2006,55.833333333333336,64.39581462585035,66.39929,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,verano,2006,80.0,81.28969047619049,78.01703,Sin riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,ago-dic,2005,64.16666666666667,43.713585012210025,52.873627,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,ene-jun,2006,25.833333333333332,44.446211111111104,48.918118,En riesgo
3639,2,1,14,MAQUIPO,25011.0,Guasave,1,verano,2007,75.0,74.7482,72.79879,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,ago-dic,2005,64.16666666666667,76.19291292517006,66.607254,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,ene-jun,2006,83.6,76.28464467120179,64.3763,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,ago-dic,2005,80.5,71.97846315192744,62.158077,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,ene-jun,2006,72.0,52.39948733938017,58.14641,En riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,verano,2008,76.0,78.82,77.22621,Sin riesgo
3765,6,1,117,FRACC.,25006.0,Culiacan,1,ago-dic,2005,58.8,56.31469274376416,59.65792,En riesgo
3765,6,1,117,FRACC.,25006.0,Culiacan,1,ene-jun,2006,82.5,64.54835238095238,57.010914,En riesgo
3765,6,1,117,FRACC.,25006.0,Culiacan,1,verano,2010,97.0,93.77,76.217415,Sin riesgo
3802,6,1,108,CENTRO,25009.0,Escuinapa,1,ago-dic,2005,81.0,58.34975894660894,62.91027,En riesgo
3802,6,1,108,CENTRO,25009.0,Escuinapa,1,ene-jun,2006,53.666666666666664,57.44900525664811,58.016182,En riesgo
3802,6,1,108,CENTRO,25009.0,Escuinapa,1,verano,2006,90.0,77.8175,74.68101,Sin riesgo
3851,0,1,37,MORELOS,25006.0,Culiacan,1,ago-dic,2005,80.5,66.41047987528346,66.7324,En riesgo
3851,0,1,37,MORELOS,25006.0,Culiacan,1,ene-jun,2006,67.4,51.57674285714288,59.8053,En riesgo
3851,0,1,37,MORELOS,25006.0,Culiacan,1,verano,2006,73.0,67.53538537414967,71.74633,En riesgo
3942,0,1,153,SANTA NATALIA,25006.0,Culiacan,1,ago-dic,2005,67.83333333333333,66.7404761904762,65.37702,En riesgo
3942,0,1,153,SANTA NATALIA,25006.0,Culiacan,1,ene-jun,2006,27.166666666666668,49.968119047619055,58.586353,En riesgo
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,ago-dic,2005,88.42857142857143,69.64963492063492,69.16993,En riesgo
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,ene-jun,2006,75.0,63.61922789115648,65.4569,En riesgo
3946,0,2,107,LOS ANGELES,25006.0,Culiacan,1,verano,2006,70.0,68.80368253968254,71.613884,En riesgo
3978,0,1,127,COFRADIA,25018.0,Navolato,1,ago-dic,2005,70.85714285714286,72.50306530612247,70.931854,Sin riesgo
3978,0,1,127,COFRADIA,25018.0,Navolato,1,ene-jun,2006,91.16666666666667,75.13162976190478,67.78359,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,59.57142857142857,74.82658639455784,69.7391,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,33.0,72.06951908541197,65.84125,Sin riesgo
3988,0,1,78,GUADALUPE,25006.0,Culiacan,1,verano,2010,35.0,45.47143537414966,71.51918,En riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,ago-dic,2005,87.42857142857143,71.65032653061225,70.24454,Sin riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,ene-jun,2006,91.14285714285714,64.18448095238092,67.01268,En riesgo
4020,0,2,107,VILLA DEL REAL,25006.0,Culiacan,1,verano,2006,100.0,73.59695238095237,78.23736,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,ago-dic,2005,70.42857142857143,84.15156190476193,74.77871,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,ene-jun,2006,57.285714285714285,83.28701582148013,70.67319,Sin riesgo
4031,0,1,107,EL WALAMO,25006.0,Culiacan,1,verano,2006,81.0,85.82013095238094,80.009735,Sin riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,73.28571428571429,85.52321598639455,80.66388,Sin riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,69.6,64.03176666666667,64.93446,En riesgo
4116,0,1,32,VILLA DE GUADALUPE,25006.0,Culiacan,1,verano,2007,100.0,91.65181746031747,83.80257,Sin riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,ago-dic,2005,58.142857142857146,69.7479922175708,69.1714,En riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,ene-jun,2006,66.6,65.24213344671202,65.73994,En riesgo
4192,0,1,26,MAZATLAN III,25006.0,Culiacan,1,verano,2007,74.0,71.56325024420025,72.533455,Sin riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,ago-dic,2005,59.666666666666664,52.88380212842712,63.283516,En riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,ene-jun,2006,87.6,62.95233809523808,60.424095,En riesgo
4244,1,2,118,BACHIGUALATO,25006.0,Culiacan,1,verano,2008,80.0,65.90449682539683,76.76244,En riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,ago-dic,2005,73.0,62.93975929229502,69.3534,En riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,ene-jun,2006,60.5,70.49192645502644,66.0787,Sin riesgo
4245,0,1,107,GUADALUPE,25006.0,Culiacan,1,verano,2007,80.0,88.25015873015873,77.72533,Sin riesgo
