clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,escuela,promedioxperiodo,promedio_pred
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2004,68.16666666666667,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,31.666666666666668,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,62.0,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,80.0,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,74.16666666666667,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,76.5,UAS (EMILIANO ZAPATA),60.246087301587295,61.13386
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,43.75,UAS (EMILIANO ZAPATA),51.38896666666664,58.91216
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,77.0,UAS (EMILIANO ZAPATA),51.38896666666664,58.91216
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,84.4,UAS (EMILIANO ZAPATA),51.38896666666664,58.91216
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,29.2,UAS (EMILIANO ZAPATA),51.38896666666664,58.91216
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2006,80.0,UAS (EMILIANO ZAPATA),84.46000000000002,74.78158
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2008,80.0,UAS (EMILIANO ZAPATA),84.46000000000002,74.78158
3327,4,1,121,BUENOS AIRES,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2009,90.0,UAS (EMILIANO ZAPATA),84.46000000000002,74.78158
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,71.66666666666667,C.E.T.I.S. 108,73.90636402116405,63.667133
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,65.5,C.E.T.I.S. 108,73.90636402116405,63.667133
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,60.2,C.E.T.I.S. 108,73.90636402116405,63.667133
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,79.33333333333333,C.E.T.I.S. 108,73.90636402116405,63.667133
4420,4,1,154,EL WALAMO,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,80.83333333333333,C.E.T.I.S. 108,73.90636402116405,63.667133
